Label,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Question,var_info
Private Residence?,Land Line Introduction,0,2,64,Num,PVTRESD1,Variable only on the land line survey,"Is this a private residence?   [READ ONLY IF NECESSARY: By private residence, we mean someplace like a house or apartment.]","{'Value': ['1', '2', 'BLANK'], 'Value Label': ['Yes -  Go to LL.04, STATERE1', 'No -  Go to LL.03, COLGHOUS', 'MissingNotes: QSTVER >= 20'], 'Frequency': ['88,333', '12', '344,978'], 'Percentage': ['99.99', '0.01', '.'], 'Weighted Percentage': ['99.98', '0.02', '.']}"
Do you live in college housing?,Land Line Introduction,0,3,65,Num,COLGHOUS,Variable only on the land line survey,Do you live in college housing?,"{'Value': ['1', 'BLANK'], 'Value Label': ['Yes -  Go to LL.04, STATERE1', 'MissingNotes: QSTVER >= 20; or LL.02, PVTRESD1, is coded 1'], 'Frequency': ['12', '433,311'], 'Percentage': ['100.00', '.'], 'Weighted Percentage': ['100.00', '.']}"
Resident of State,Land Line Introduction,0,4,66,Num,STATERE1,Variable only on the land line survey,Do you currently live in  ____(state)____?,"{'Value': ['1', '2', 'BLANK'], 'Value Label': ['Yes -  Go to LL.05, CELPHON1', 'No - Terminate Phone Call', 'Not asked or MissingNotes: QSTVER >= 20'], 'Frequency': ['88,344', '1', '344,978'], 'Percentage': ['100.00', '0.00', '.'], 'Weighted Percentage': ['100.00', '0.00', '.']}"
Cellular Telephone,Land Line Introduction,0,5,67,Num,CELPHON1,Variable only on the land line survey,Is this a cell telephone?,"{'Value': ['2', '4', 'BLANK'], 'Value Label': ['Not a cell phone -  Go to LL.06, LADULT1', '', 'Missing or Cell Phone InterviewNotes: QSTVER >= 20'], 'Frequency': ['88,345', '1', '344,977'], 'Percentage': ['100.00', '0.00', '.'], 'Weighted Percentage': ['100.00', '0.00', '.']}"
Are you 18 years of age or older?,Land Line Introduction,0,6,68,Num,LADULT1,Variable only on the land line survey,Are you 18 years of age or older?,"{'Value': ['1', '2', 'BLANK'], 'Value Label': ['Yes -  If LL.03, COLGHOUS, is 1 go to LL.09, LANDSEX2; else go to LL.07, NUMADULT', 'No -  If LL.03, COLGHOUS, is 1 Terminate Phone Call, else go to LL.07, NUMADULT', 'Not asked or MissingNotes: QSTVER >= 20'], 'Frequency': ['88,212', '133', '344,978'], 'Percentage': ['99.85', '0.15', '.'], 'Weighted Percentage': ['99.86', '0.14', '.']}"
Number of Adults in Household,Land Line Introduction,0,7,69-70,Num,NUMADULT,Variable only on the land line survey,"I need to randomly select one adult who lives in your household to be interviewed. Excluding adults living away from home, such as students away at college, how many members of your household, including yourself, are 18 years of age or older?","{'Value': ['1', '2', '3', '4', '5', '6 - 99', 'BLANK'], 'Value Label': ['Number of adults in the household -  Go to LL.09, LANDSEX2', 'Number of adults in the household -  Go to LL.08, RESPSLC1', 'Number of adults in the household -  Go to LL.08, RESPSLC1', 'Number of adults in the household -  Go to LL.08, RESPSLC1', 'Number of adults in the household -  Go to LL.08, RESPSLC1', '6 or more -  Go to LL.08, RESPSLC1', 'MissingNotes: QSTVER >= 20'], 'Frequency': ['35,943', '42,567', '6,750', '2,132', '592', '346', '344,993'], 'Percentage': ['40.69', '48.19', '7.64', '2.41', '0.67', '0.39', '.'], 'Weighted Percentage': ['25.86', '50.39', '14.28', '6.46', '2.06', '0.95', '.']}"
Respondent selection,Land Line Introduction,0,8,71,Num,RESPSLC1,Variable only on the land line survey,The person in your household that I need to speak with is the adult with the most recent birthday. Are you the adult with the most recent birthday?,"{'Value': ['1', '2', '4', 'BLANK'], 'Value Label': ['Yes', 'No -  Ask for correct respondent', '', 'Not asked or MissingNotes: QSTVER >= 20; or if LL.07, NUMADULT, is equal to 1'], 'Frequency': ['50,801', '1,584', '1', '380,937'], 'Percentage': ['96.97', '3.02', '0.00', '.'], 'Weighted Percentage': ['97.60', '2.40', '0.00', '.']}"
Are you male or female?,Land Line Introduction,0,9,72,Num,LANDSEX2,Variable only on the land line survey,Are you?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Male', 'Female', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: QSTVER >= 20'], 'Frequency': ['26,845', '43,462', '19', '42', '362,850'], 'Percentage': ['38.09', '61.67', '0.03', '0.06', '.'], 'Weighted Percentage': ['38.12', '61.56', '0.02', '0.06', '.']}"
Safe time to talk,Cell Phone Introduction,0,1,74,Num,SAFETIME,Variable only on the cell phone survey,Is this a safe time to talk with you?,"{'Value': ['1', 'BLANK'], 'Value Label': ['Yes -  Go to CP.02, CTELNUM1', 'Not asked or MissingNotes: QSTVER < 20'], 'Frequency': ['344,978', '88,345'], 'Percentage': ['100.00', '.'], 'Weighted Percentage': ['100.00', '.']}"
Correct Phone Number?,Cell Phone Introduction,0,2,75,Num,CTELNUM1,Variable only on the cell phone survey,Is this     (phone number)     ?,"{'Value': ['1', 'BLANK'], 'Value Label': ['Yes -  Go to CP.03, CELLFON5', 'Not asked or MissingNotes: QSTVER < = 20'], 'Frequency': ['344,978', '88,345'], 'Percentage': ['100.00', '.'], 'Weighted Percentage': ['100.00', '.']}"
Is this a cell phone?,Cell Phone Introduction,0,3,76,Num,CELLFON5,Variable only on the cell phone survey,Is this a cell phone?,"{'Value': ['1', 'BLANK'], 'Value Label': ['Yes -  Go to CP.04, CADULT1', 'Not asked or MissingNotes: QSTVER < 20; or CP.02, CTELNUM1, is coded 2'], 'Frequency': ['344,978', '88,345'], 'Percentage': ['100.00', '.'], 'Weighted Percentage': ['100.00', '.']}"
Are you 18 years of age or older?,Cell Phone Introduction,0,4,77,Num,CADULT1,Variable only on the cell phone survey,Are you 18 years of age or older?,"{'Value': ['1', 'BLANK'], 'Value Label': ['Yes -  Go to CP.05, CELLSEX1', 'Not asked or MissingNotes: QSTVER < 20; or CP.03, CELLLFON5, is coded 2'], 'Frequency': ['344,978', '88,345'], 'Percentage': ['100.00', '.'], 'Weighted Percentage': ['100.00', '.']}"
Are you male or female?,Cell Phone Introduction,0,5,78,Num,CELLSEX2,Variable only on the cell phone survey,Are you?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Male -  Go to CP.07, PVTRESD3', 'Female -  Go to CP.07, PVTRESD3', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: QSTVER < 20; or CP.04, CADULT1, is coded 2'], 'Frequency': ['170,300', '172,100', '139', '262', '88,347'], 'Percentage': ['49.37', '49.89', '0.04', '0.08', '.'], 'Weighted Percentage': ['49.69', '49.31', '0.05', '0.11', '.']}"
Do you live in a private residence?,Cell Phone Introduction,0,7,80,Num,PVTRESD3,Variable only on the cell phone survey,"Do you live in a private residence?  (By private residence, we mean someplace like a house or apartment.)","{'Value': ['1', '2', 'BLANK'], 'Value Label': ['Yes -  Go to CP.09, CSTATE1', 'No -  Go to CP.08, CCLGHOUS', 'Not asked or MissingNotes: QSTVER < 20; or CP.06, CELSXBRT, is coded 7 or 9'], 'Frequency': ['343,628', '1,350', '88,345'], 'Percentage': ['99.61', '0.39', '.'], 'Weighted Percentage': ['99.30', '0.70', '.']}"
Do you live in college housing?,Cell Phone Introduction,0,8,81,Num,CCLGHOUS,Variable only on the cell phone survey,Do you live in college housing?,"{'Value': ['1', 'BLANK'], 'Value Label': ['Yes -  Go to CP.09, CSTATE1', 'MissingNotes: QSTVER < 20; or CP.07, PVTRESD3, is coded 1'], 'Frequency': ['1,350', '431,973'], 'Percentage': ['100.00', '.'], 'Weighted Percentage': ['100.00', '.']}"
Do you currently live in  ____(state)____?,Cell Phone Introduction,0,9,82,Num,CSTATE1,Variable only on the cell phone survey,Do you currently live in  ____(state)____?,"{'Value': ['1', '2', 'BLANK'], 'Value Label': ['Yes -  Go to CP.11, LANDLINE', 'No -  Go to CP.10, RSPSTAT1', 'Not asked or MissingNotes: QSTVER < 20; or CP.08, CCLGHOUS, is coded 2'], 'Frequency': ['326,473', '18,495', '88,355'], 'Percentage': ['94.64', '5.36', '.'], 'Weighted Percentage': ['89.22', '10.78', '.']}"
Do you also have a landline telephone?,Cell Phone Introduction,0,11,85,Num,LANDLINE,Variable only on the cell phone survey,Do you also have a landline telephone in your home that is used to make and receive calls?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: QSTVER < 20; or CP.10, RSPSTAT1, is coded 77 or 99'], 'Frequency': ['68,420', '275,468', '617', '472', '88,346'], 'Percentage': ['19.83', '79.85', '0.18', '0.14', '.'], 'Weighted Percentage': ['29.30', '70.43', '0.18', '0.09', '.']}"
Number of Adults in Household,Cell Phone Introduction,0,12,86-87,Num,HHADULT,Variable only on the cell phone survey,"How many members of your household, including yourself, are 18 years of age or older?","{'Value': ['1 - 76', '77', '99', 'BLANK'], 'Value Label': ['Number of adults', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: QSTVER < 20; or CP.10, RSPSTAT1, is coded 77 or 99'], 'Frequency': ['341,851', '989', '2,134', '88,349'], 'Percentage': ['99.09', '0.29', '0.62', '.'], 'Weighted Percentage': ['98.93', '0.37', '0.70', '.']}"
Sex of Respondent,Respondent Sex,0,1,88,Num,SEXVAR,,Sex of Respondent,"{'Value': ['1', '2'], 'Value Label': ['Male - Code=1 if LANDSEX2=1 or CELLSEX2=1', 'Female - Code=2 if LANDSEX2=2 or CELLSEX2=2'], 'Frequency': ['203,782', '229,541'], 'Percentage': ['47.03', '52.97'], 'Weighted Percentage': ['48.50', '51.50']}"
General Health,Health Status,,1,101,Num,GENHLTH,,Would you say that in general your health is:,"{'Value': ['1', '2', '3', '4', '5', '7', '9', 'BLANK'], 'Value Label': ['Excellent', 'Very good', 'Good', 'Fair', 'Poor', ""Don't know/Not Sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['63,410', '142,115', '144,209', '61,955', '20,372', '897', '361', '4'], 'Percentage': ['14.63', '32.80', '33.28', '14.30', '4.70', '0.21', '0.08', '.'], 'Weighted Percentage': ['15.83', '31.00', '33.54', '14.87', '4.44', '0.22', '0.09', '.']}"
Number of Days Physical Health Not Good,Healthy Days,,1,102-103,Num,PHYSHLTH,,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?","{'Value': ['1 - 30', '88', '77', '99', 'BLANK'], 'Value Label': ['Number of days', 'None', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['165,973', '256,565', '9,072', '1,710', '3'], 'Percentage': ['38.30', '59.21', '2.09', '0.39', '.'], 'Weighted Percentage': ['37.71', '59.64', '2.23', '0.43', '.']}"
Number of Days Mental Health Not Good,Healthy Days,,2,104-105,Num,MENTHLTH,,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?","{'Value': ['1 - 30', '88', '77', '99', 'BLANK'], 'Value Label': ['Number of daysNotes: _ _ Number of days', 'None', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['168,189', '257,026', '5,992', '2,113', '3'], 'Percentage': ['38.81', '59.32', '1.38', '0.49', '.'], 'Weighted Percentage': ['42.10', '55.80', '1.54', '0.55', '.']}"
Poor Physical or Mental Health,Healthy Days,,3,106-107,Num,POORHLTH,,"During the past 30 days, for about how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","{'Value': ['1 - 30', '88', '77', '99', 'BLANK'], 'Value Label': ['Number of daysNotes: _ _ Number of days', 'None', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Section 02.01, PHYSHLTH, is 88 and Section 2.02, MENTHLTH, is 88'], 'Frequency': ['117,572', '128,905', '4,574', '1,119', '181,153'], 'Percentage': ['46.62', '51.12', '1.81', '0.44', '.'], 'Weighted Percentage': ['47.39', '50.18', '1.99', '0.44', '.']}"
What is Current Primary Source of Health Insurance?,Health Care Access,,1,108-109,Num,PRIMINS1,,What is the current source of your primary health insurance?,"{'Value': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '88', '77', '99', 'BLANK'], 'Value Label': [""A plan purchased through an employer or union (including plans purchased through another person's employer)"", 'A private nongovernmental plan that you or another family member buys on your own', 'Medicare', 'Medigap', 'Medicaid', ""Children's Health Insurance Program (CHIP)"", 'Military related health care: TRICARE (CHAMPUS) / VA health care / CHAMP- VA', 'Indian Health Service', 'State sponsored health plan', 'Other government program', 'No coverage of any type', ""Don't know/Not Sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['152,549', '33,608', '137,019', '354', '28,729', '134', '14,912', '1,217', '12,149', '11,275', '22,703', '11,403', '7,266', '5'], 'Percentage': ['35.20', '7.76', '31.62', '0.08', '6.63', '0.03', '3.44', '0.28', '2.80', '2.60', '5.24', '2.63', '1.68', '.'], 'Weighted Percentage': ['37.92', '8.99', '21.23', '0.08', '8.18', '0.04', '3.30', '0.15', '3.15', '3.27', '8.11', '3.82', '1.76', '.']}"
Have Personal Health Care Provider?,Health Care Access,,2,110,Num,PERSDOC3,,Do you have one person (or a group of doctors) that you think of as your personal health care provider?,"{'Value': ['1', '2', '3', '7', '9', 'BLANK'], 'Value Label': ['Yes, only one', 'More than one', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['234,388', '141,728', '52,973', '3,271', '960', '3'], 'Percentage': ['54.09', '32.71', '12.22', '0.75', '0.22', '.'], 'Weighted Percentage': ['51.48', '30.44', '16.91', '0.94', '0.23', '.']}"
Could Not Afford To See Doctor,Health Care Access,,3,111,Num,MEDCOST1,,Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['37,198', '394,587', '1,174', '362', '2'], 'Percentage': ['8.58', '91.06', '0.27', '0.08', '.'], 'Weighted Percentage': ['11.52', '88.05', '0.34', '0.09', '.']}"
Length of time since last routine checkup,Health Care Access,,4,112,Num,CHECKUP1,,About how long has it been since you last visited a doctor for a routine checkup?,"{'Value': ['1', '2', '3', '4', '7', '8', '9', 'BLANK'], 'Value Label': ['Within past year (anytime less than 12 months ago)', 'Within past 2 years (1 year but less than 2 years ago)', 'Within past 5 years (2 years but less than 5 years ago)', '5 or more years ago', ""Don't know/Not sure"", 'Never', 'Refused', 'Not asked or Missing'], 'Frequency': ['348,057', '38,031', '20,970', '17,737', '5,168', '2,747', '611', '2'], 'Percentage': ['80.32', '8.78', '4.84', '4.09', '1.19', '0.63', '0.14', '.'], 'Weighted Percentage': ['76.49', '10.22', '5.92', '4.76', '1.47', '0.99', '0.14', '.']}"
Exercise in Past 30 Days,Exercise (Physical Activity),,1,113,Num,EXERANY2,,"During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to Section 04.08 STRENGTH', ""Don't know/Not Sure -  Go to Section 04.08 STRENGTH"", 'Refused -  Go to Section 04.08 STRENGTH', 'Not asked or Missing'], 'Frequency': ['325,227', '106,845', '927', '322', '2'], 'Percentage': ['75.05', '24.66', '0.21', '0.07', '.'], 'Weighted Percentage': ['75.03', '24.71', '0.19', '0.07', '.']}"
Type of Physical Activity,Exercise (Physical Activity),,2,114-115,Num,EXRACT12,,What type of physical activity or exercise did you spend the most time doing during the past month?,"{'Value': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '77', '99', 'BLANK'], 'Value Label': ['Walking', 'Running or jogging', 'Gardening or yard work', 'Bicycling or bicycling machine exercise', 'Aerobics video or class', 'Calisthenics', 'Elliptical/EFX machine exercise', 'Household activities', 'Weight lifting', 'Yoga, Pilates, or Tai Chi', 'Other', ""Don't know/Not Sure -  Go to Section 04.08 STRENGTH"", 'Refused -  Go to Section 04.08 STRENGTH', 'Not asked or MissingNotes: Section 04.01, EXERANY2, is coded 2, 7, 9, or Missing;'], 'Frequency': ['175,131', '19,682', '25,972', '13,961', '4,501', '4,169', '3,693', '4,153', '19,930', '5,293', '46,556', '1,651', '535', '108,096'], 'Percentage': ['53.85', '6.05', '7.99', '4.29', '1.38', '1.28', '1.14', '1.28', '6.13', '1.63', '14.31', '0.51', '0.16', '.'], 'Weighted Percentage': ['51.85', '8.22', '6.54', '3.95', '1.22', '1.50', '1.12', '1.11', '8.03', '1.66', '14.08', '0.57', '0.15', '.']}"
"How Many Times Walking, Running, Jogging, or Swimming",Exercise (Physical Activity),,3,116-118,Num,EXEROFT1,,How many times per week or per month did you take part in this activity during the past month?,"{'Value': ['101 - 199', '201 - 299', '777', '999', 'BLANK'], 'Value Label': ['Times per week', 'Times per month', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Section 04.01, EXERANY2, is coded 2, 7, 9, or Missing; or Section 04.02, EXRACT12 is coded 77, 99'], 'Frequency': ['217,114', '99,034', '5,899', '994', '110,282'], 'Percentage': ['67.21', '30.66', '1.83', '0.31', '.'], 'Weighted Percentage': ['68.17', '29.70', '1.83', '0.29', '.']}"
"Minutes or Hours Walking, Running, Jogging, or Swimming",Exercise (Physical Activity),,4,119-121,Num,EXERHMM1,,"And when you took part in this activity, for how many minutes or hours did you usually keep at it?","{'Value': ['1 - 759', '777', '800 - 959', '999', 'BLANK'], 'Value Label': ['Hours and Minutes', ""Don't know/Not sure"", 'Hours and Minutes', 'Refused', 'Not asked or MissingNotes: Section 04.01, EXERANY2, is coded 2, 7, 9, or Missing; or Section 04.02, EXRACT12 is coded 77, 99'], 'Frequency': ['312,019', '6,772', '3,619', '629', '110,284'], 'Percentage': ['96.59', '2.10', '1.12', '0.19', '.'], 'Weighted Percentage': ['96.75', '1.83', '1.25', '0.18', '.']}"
Other Type of Physical Activity Giving Most Exercise During Past Month,Exercise (Physical Activity),,5,122-123,Num,EXRACT22,,What other type of physical activity gave you the next most exercise during the past month?,"{'Value': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '88', '77', '99', 'BLANK'], 'Value Label': ['Walking', 'Running or jogging', 'Gardening or yard work', 'Bicycling or bicycling machine exercise', 'Aerobics video or class', 'Calisthenics', 'Elliptical/EFX machine exercise', 'Household activities', 'Weight lifting', 'Yoga, Pilates, or Tai Chi', 'Other', 'No other activity -  Go to Section 04.08 STRENGTH', ""Don't know/Not Sure -  Go to Section 04.08 STRENGTH"", 'Refused -  Go to Section 04.08 STRENGTH', 'Not asked or MissingNotes: Section 04.01, EXERANY2, is coded 2, 7, 9, or Missing; or Section 04.02, EXRACT12 is coded 77, 99'], 'Frequency': ['51,535', '11,864', '30,714', '13,508', '3,356', '4,550', '3,060', '21,168', '22,081', '8,331', '58,590', '88,928', '4,571', '784', '110,283'], 'Percentage': ['15.95', '3.67', '9.51', '4.18', '1.04', '1.41', '0.95', '6.55', '6.84', '2.58', '18.14', '27.53', '1.41', '0.24', '.'], 'Weighted Percentage': ['15.49', '5.22', '7.84', '3.90', '0.96', '1.55', '0.91', '5.53', '7.80', '2.54', '17.67', '28.83', '1.48', '0.27', '.']}"
"How Many Times Walking, Running, Jogging, or Swimming",Exercise (Physical Activity),,6,124-126,Num,EXEROFT2,,How many times per week or per month did you take part in this activity during the past month?,"{'Value': ['101 - 199', '201 - 299', '777', '999', 'BLANK'], 'Value Label': ['Times per week', 'Times per month', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Section 04.01, EXERANY2, is coded 2, 7, 9, or Missing; or Section 04.02, EXRACT12 is coded 77, 99 or Section 04.05, EXRACT22 is coded 77, 88, 99'], 'Frequency': ['148,709', '75,813', '3,681', '554', '204,566'], 'Percentage': ['65.01', '33.14', '1.61', '0.24', '.'], 'Weighted Percentage': ['65.54', '32.76', '1.49', '0.21', '.']}"
